,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude,probability,rate,overnight,openSpaces,numberOfCameras
3471,Sunday,Larceny Theft,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,39,0,1,6,9
3472,Friday,Motor Vehicle Theft,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,23,0,1,3,14
3473,Tuesday,Miscellaneous Investigation,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,43,0,1,4,12
3474,Tuesday,Motor Vehicle Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,30,0,1,6,12
3475,Friday,Other Miscellaneous,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,40,0,1,2,9
3476,Thursday,Other Miscellaneous,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,28,0,1,2,12
3477,Friday,Burglary,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,45,0,1,3,12
3478,Saturday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,26,0,1,7,11
3479,Sunday,Larceny Theft,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,31,0,1,4,8
3480,Wednesday,Malicious Mischief,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,34,0,1,5,11
3481,Saturday,Non-Criminal,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,50,0,1,3,13
3482,Tuesday,Larceny Theft,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,54,0,1,12,12
3483,Wednesday,Larceny Theft,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,14,0,1,1,12
3484,Sunday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,46,0,1,7,11
3485,Tuesday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,32,0,1,5,12
3486,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,46,0,1,10,10
3487,Tuesday,Larceny Theft,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,25,0,1,5,15
3488,Monday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,37,0,1,5,11
3489,Monday,Larceny Theft,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,44,0,1,7,12
3490,Tuesday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,55,0,1,6,9
3491,Thursday,Miscellaneous Investigation,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,37,0,1,2,9
3492,Monday,Other Miscellaneous,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,47,0,1,11,-1
3493,Wednesday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,28,0,1,3,12
3494,Monday,Other Miscellaneous,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,25,0,1,4,9
3495,Monday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,40,0,1,2,11
3496,Saturday,Larceny Theft,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,35,0,1,1,12
3497,Thursday,Other Miscellaneous,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,39,0,1,6,11
3498,Sunday,Larceny Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,23,0,1,3,12
3499,Monday,Non-Criminal,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,43,0,1,4,11
3500,Friday,Traffic Violation Arrest,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,30,0,1,6,10
3501,Thursday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,40,0,1,2,11
3502,Tuesday,Other,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,65,0,1,5,11
3503,Tuesday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,29,0,1,2,-1
3504,Friday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,34,0,1,4,11
3505,Monday,Offences Against The Family And Children,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,61,0,1,4,11
3506,Wednesday,Motor Vehicle Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,64,0,1,5,9
3507,Monday,Burglary,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,47,0,1,3,13
3508,Saturday,Fraud,GUERRERO ST \ CLINTON PARK,37.76913366,-122.4245708,47,0,1,4,9
3509,Saturday,Other Miscellaneous,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,55,0,1,5,11
3510,Wednesday,Recovered Vehicle,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,26,0,1,3,11
3511,Monday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,41,0,1,3,12
3512,Saturday,Non-Criminal,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,37,0,1,2,9
3513,Thursday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,57,0,1,5,14
3514,Saturday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,38,0,1,3,9
3515,Friday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,42,0,1,5,9
3516,Wednesday,Other Miscellaneous,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,30,0,1,2,12
3517,Tuesday,Non-Criminal,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,26,0,1,3,15
3518,Thursday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,43,0,1,2,12
3519,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,30,0,1,8,10
3520,Sunday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,39,0,1,5,11
3521,Sunday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,43,0,1,6,-1
3522,Friday,Assault,22ND ST \ GUERRERO ST,37.75516979,-122.423181,41,0,1,10,-1
3523,Friday,Fraud,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.74557881,-122.4222183,30,0,1,3,-1
3524,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,16,0,1,1,-1
3525,Friday,Missing Person,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,44,0,1,7,-1
3526,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,43,0,1,8,-1
3527,Wednesday,Fraud,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,60,0,1,12,-1
3528,Wednesday,Other Miscellaneous,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,35,0,1,5,-1
3529,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,72,0,1,11,-1
3530,Sunday,Warrant,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,41,0,1,4,-1
3531,Thursday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,31,0,1,6,-1
3532,Friday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,53,0,1,4,-1
3533,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,43,0,1,4,-1
3534,Friday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,35,0,1,5,-1
3535,Friday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,34,0,1,6,-1
3536,Sunday,Other Miscellaneous,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,14,0,1,1,-1
3537,Sunday,Offences Against The Family And Children,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,38,0,1,3,-1
3538,Tuesday,Recovered Vehicle,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,33,0,1,6,-1
3539,Friday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,37,0,1,5,-1
3540,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,43,0,1,2,-1
3541,Tuesday,Other,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,41,0,1,2,-1
3542,Monday,Burglary,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,34,0,1,6,-1
3543,Thursday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,,inf,0,0,-1
3544,Thursday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,65,0,1,5,-1
3545,Sunday,Larceny Theft,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,43,0,1,8,-1
3546,Friday,Missing Person,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,41,0,1,10,-1
3547,Friday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,31,0,1,6,-1
3548,Monday,Other Miscellaneous,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,41,0,1,4,-1
3549,Tuesday,Warrant,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,33,0,1,6,-1
3550,Monday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,43,0,1,6,-1
3551,Tuesday,Burglary,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,37,0,1,5,-1
3552,Monday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,16,0,1,1,-1
3553,Sunday,Missing Person,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,41,0,1,2,-1
3554,Sunday,Larceny Theft,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,44,0,1,7,-1
3555,Wednesday,Motor Vehicle Theft,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,30,0,1,3,-1
3556,Wednesday,Fraud,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,38,0,1,7,-1
3557,Tuesday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,72,0,1,11,-1
3558,Saturday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,35,0,1,5,-1
3559,Monday,Missing Person,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,68,0,1,5,-1
3560,Friday,Motor Vehicle Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,37,0,1,6,-1
3561,Saturday,Suspicious Occ,22ND ST \ GUERRERO ST,37.75516979,-122.423181,34,0,1,6,-1
3562,Wednesday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,34,0,1,6,-1
3563,Wednesday,Drug Offense,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,35,0,1,5,-1
3564,Thursday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,34,0,1,6,-1
3565,Sunday,Burglary,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,43,0,1,9,-1
3566,Monday,Malicious Mischief,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,60,0,1,12,-1
3567,Friday,Warrant,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,35,0,1,6,-1
3568,Saturday,Assault,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,38,0,1,5,-1
3569,Wednesday,Malicious Mischief,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,43,0,1,4,-1
3570,Monday,Larceny Theft,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,57,0,1,6,-1
3571,Wednesday,Miscellaneous Investigation,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,14,0,1,1,-1
3572,Friday,Burglary,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,40,0,1,3,-1
3573,Friday,Larceny Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,37,0,1,5,-1
3574,Thursday,Missing Person,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,42,0,1,3,-1
3575,Thursday,Larceny Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,44,0,1,3,-1
3576,Friday,Larceny Theft,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,40,0,1,2,-1
3577,Monday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,48,0,1,11,-1
3578,Tuesday,Assault,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,54,0,1,5,-1
3579,Friday,Other Offenses,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,67,0,1,6,-1
3580,Friday,Burglary,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.74557881,-122.4222183,,inf,0,0,-1
3581,Sunday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,24,0,1,1,-1
3582,Thursday,Forgery And Counterfeiting,LIBERTY ST \ GUERRERO ST,37.75756491,-122.4234525,16,0,1,3,-1
3583,Monday,Lost Property,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,50,0,1,8,-1
3584,Tuesday,Larceny Theft,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,42,0,1,12,-1
3585,Thursday,Weapons Offense,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,25,0,1,4,-1
3586,Wednesday,Non-Criminal,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,,inf,0,0,-1
3587,Friday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,52,0,1,9,-1
3588,Saturday,Non-Criminal,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,38,0,1,7,-1
3589,Wednesday,Weapons Offense,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,36,0,1,6,-1
3590,Thursday,Suspicious Occ,22ND ST \ GUERRERO ST,37.75516979,-122.423181,46,0,1,9,-1
3591,Thursday,Assault,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,43,0,1,3,-1
3592,Tuesday,Non-Criminal,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,42,0,1,5,-1
3593,Thursday,Other Miscellaneous,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,30,0,1,2,-1
3594,Monday,Recovered Vehicle,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,26,0,1,3,-1
3595,Monday,Larceny Theft,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,47,0,1,4,-1
3596,Friday,Drug Offense,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,47,0,1,3,-1
3597,Friday,Burglary,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,64,0,1,5,-1
3598,Saturday,Burglary,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,31,0,1,3,-1
3599,Monday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,20,0,1,3,-1
3600,Thursday,Motor Vehicle Theft,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,26,0,1,3,-1
3601,Tuesday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,58,0,1,5,-1
3602,Monday,Lost Property,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,44,0,1,5,-1
3603,Tuesday,Larceny Theft,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,34,0,1,6,-1
3604,Tuesday,Larceny Theft,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,30,0,1,3,-1
3605,Friday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,37,0,1,3,-1
3606,Friday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,65,0,1,5,-1
3607,Thursday,Non-Criminal,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,54,0,1,3,-1
3608,Saturday,Assault,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,40,0,1,5,-1
3609,Saturday,Motor Vehicle Theft,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,30,0,1,8,-1
3610,Tuesday,Malicious Mischief,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,21,0,1,2,-1
3611,Saturday,Motor Vehicle Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,42,0,1,4,-1
3612,Thursday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,10,0,1,1,-1
3613,Monday,Fraud,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,36,0,1,7,-1
3614,Sunday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,42,0,1,4,-1
3615,Saturday,Assault,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,13,0,1,3,-1
3616,Saturday,Larceny Theft,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,56,0,1,7,-1
3617,Friday,Burglary,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,33,0,1,12,-1
3618,Sunday,Suspicious Occ,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,38,0,1,3,-1
3619,Monday,Malicious Mischief,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,37,0,1,4,-1
3620,Thursday,Fraud,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,17,0,1,1,-1
3621,Wednesday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,34,0,1,8,-1
3622,Wednesday,Fraud,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,35,0,1,8,-1
3623,Sunday,Assault,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,43,0,1,6,-1
3624,Friday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,19,0,1,4,-1
3625,Friday,Larceny Theft,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,26,0,1,2,-1
3626,Monday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,21,0,1,4,-1
3627,Thursday,Non-Criminal,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,51,0,1,7,-1
3628,Sunday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,23,0,1,3,-1
3629,Tuesday,Warrant,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,37,0,1,2,-1
3630,Tuesday,Recovered Vehicle,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,55,0,1,6,-1
3631,Thursday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,21,0,1,5,-1
3632,Monday,Burglary,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,47,0,1,11,-1
3633,Saturday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,23,0,1,4,-1
3634,Wednesday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,43,0,1,4,-1
3635,Monday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,24,0,1,4,-1
3636,Tuesday,Larceny Theft,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,13,0,1,2,-1
3637,Sunday,Motor Vehicle Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,52,0,1,9,-1
3638,Saturday,Traffic Violation Arrest,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,36,0,1,6,-1
3639,Wednesday,Malicious Mischief,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,14,0,1,2,-1
3640,Sunday,Other Miscellaneous,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,44,0,1,3,-1
3641,Friday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,42,0,1,3,-1
3642,Thursday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,26,0,1,1,-1
3643,Friday,Malicious Mischief,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,57,0,1,4,-1
3644,Friday,Other Miscellaneous,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,21,0,1,2,-1
3645,Sunday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,29,0,1,7,-1
3646,Tuesday,Lost Property,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,42,0,1,12,-1
3647,Sunday,Burglary,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,27,0,1,8,-1
3648,Tuesday,Larceny Theft,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,,inf,0,0,-1
3649,Monday,Case Closure,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,18,0,1,4,-1
3650,Tuesday,Recovered Vehicle,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,41,0,1,1,-1
3651,Wednesday,Other Miscellaneous,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,69,0,1,3,-1
3652,Friday,Motor Vehicle Theft,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,32,0,1,4,-1
3653,Friday,Miscellaneous Investigation,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,40,0,1,3,-1
3654,Monday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,37,0,1,5,-1
3655,Tuesday,Other Miscellaneous,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,24,0,1,1,-1
3656,Wednesday,Miscellaneous Investigation,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,22,0,1,5,-1
3657,Tuesday,Non-Criminal,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,42,0,1,4,-1
3658,Monday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,43,0,1,5,-1
3659,Sunday,Motor Vehicle Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,61,0,1,4,-1
3660,Friday,Traffic Violation Arrest,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,41,0,1,3,-1
3661,Wednesday,Malicious Mischief,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,34,0,1,4,-1
3662,Friday,Burglary,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,37,0,1,2,-1
3663,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,29,0,1,2,-1
3664,Saturday,Larceny Theft,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,38,0,1,3,-1
3665,Tuesday,Motor Vehicle Theft,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,65,0,1,5,-1
3666,Tuesday,Larceny Theft,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,57,0,1,5,-1
3667,Sunday,Sex Offense,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,43,0,1,2,-1
3668,Sunday,Burglary,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,59,0,1,6,-1
3669,Thursday,Lost Property,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,55,0,1,5,-1
3670,Wednesday,Civil Sidewalks,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,43,0,1,4,-1
3671,Thursday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,81,0,1,10,-1
3672,Wednesday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,41,0,1,3,-1
3673,Wednesday,Assault,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,50,0,1,4,-1
3674,Saturday,Traffic Violation Arrest,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,60,0,1,12,-1
3675,Saturday,Other Miscellaneous,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,47,0,1,4,-1
3676,Monday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,47,0,1,3,-1
3677,Monday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,64,0,1,5,-1
3678,Saturday,Robbery,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,39,0,1,6,-1
3679,Tuesday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,40,0,1,5,-1
3680,Sunday,Non-Criminal,GUERRERO ST \ CLINTON PARK,37.76913366,-122.4245708,65,0,1,5,-1
3681,Friday,Burglary,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,29,0,1,2,-1
3682,Tuesday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,34,0,1,4,-1
3683,Wednesday,Fraud,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,61,0,1,4,-1
3684,Sunday,Suspicious Occ,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,64,0,1,5,-1
3685,Tuesday,Larceny Theft,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,47,0,1,3,-1
3686,Sunday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,47,0,1,4,-1
3687,Saturday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,55,0,1,5,-1
3688,Thursday,Larceny Theft,CLINTON PARK \ GUERRERO ST,37.76914818,-122.424475,26,0,1,3,-1
3689,Wednesday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,41,0,1,3,-1
3690,Saturday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,37,0,1,2,-1
3691,Saturday,Stolen Property,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,57,0,1,5,-1
3692,Saturday,Non-Criminal,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,38,0,1,3,-1
3693,Monday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,42,0,1,5,-1
3694,Monday,Larceny Theft,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,30,0,1,2,-1
3695,Monday,Missing Person,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,26,0,1,3,-1
3696,Wednesday,Suspicious,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.74557881,-122.4222183,43,0,1,2,-1
3697,Tuesday,Lost Property,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,30,0,1,8,-1
3698,Friday,Fraud,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,39,0,1,5,-1
3699,Monday,Recovered Vehicle,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,54,0,1,3,-1
3700,Friday,Larceny Theft,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,40,0,1,5,-1
3701,Saturday,Robbery,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,21,0,1,2,-1
3702,Tuesday,Forgery And Counterfeiting,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,10,0,1,1,-1
3703,Monday,Miscellaneous Investigation,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,57,0,1,6,-1
3704,Wednesday,Miscellaneous Investigation,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,28,0,1,3,-1
3705,Saturday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,31,0,1,3,-1
3706,Thursday,Forgery And Counterfeiting,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,36,0,1,3,-1
3707,Monday,Warrant,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,,inf,0,0,-1
3708,Saturday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,18,0,1,4,-1
3709,Sunday,Warrant,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,28,0,1,2,-1
3710,Monday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,34,0,1,6,-1
3711,Monday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,20,0,1,7,-1
3712,Sunday,Larceny Theft,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,32,0,1,6,-1
3713,Thursday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,30,0,1,3,-1
