,probability,rate,overnight,openSpaces
795,46.0,0.0,1,4
796,78.0,0.0,1,3
797,52.0,0.0,1,6
798,85.0,0.0,1,12
799,63.0,0.0,1,12
800,81.0,0.0,1,6
801,80.0,0.0,1,5
802,56.0,0.0,1,4
803,8.0,0.0,1,1
804,56.0,0.0,1,4
805,85.0,0.0,1,4
806,85.0,0.0,1,5
807,30.0,0.0,1,5
808,59.0,0.0,1,18
809,41.0,0.0,1,4
810,85.0,0.0,1,20
811,90.0,0.0,1,8
812,46.0,0.0,1,4
813,78.0,0.0,1,3
814,52.0,0.0,1,6
815,85.0,0.0,1,12
816,63.0,0.0,1,12
817,81.0,0.0,1,6
818,80.0,0.0,1,5
819,56.0,0.0,1,4
820,8.0,0.0,1,1
821,56.0,0.0,1,4
822,85.0,0.0,1,4
823,85.0,0.0,1,5
824,30.0,0.0,1,5
825,59.0,0.0,1,18
826,41.0,0.0,1,4
827,85.0,0.0,1,20
828,90.0,0.0,1,8
829,45.0,0.0,1,4
830,58.0,0.0,1,4
831,33.0,0.0,1,3
832,65.0,0.0,1,5
833,60.0,0.0,1,3
834,33.0,0.0,1,4
835,45.0,0.0,1,2
836,83.0,0.0,1,5
837,43.0,0.0,1,1
838,89.0,0.0,1,6
839,78.0,0.0,1,4
840,36.0,0.0,1,1
841,79.0,0.0,1,10
842,76.0,0.0,1,6
843,89.0,0.0,1,12
844,83.0,0.0,1,12
845,89.0,0.0,1,5
846,94.0,0.0,1,15
847,84.0,0.0,1,13
848,56.0,0.0,1,7
849,90.0,0.0,1,8
850,85.0,0.0,1,20
851,81.0,0.0,1,11
852,83.0,0.0,1,5
853,43.0,0.0,1,1
854,89.0,0.0,1,6
855,78.0,0.0,1,4
856,36.0,0.0,1,1
857,79.0,0.0,1,10
858,76.0,0.0,1,6
859,89.0,0.0,1,12
860,83.0,0.0,1,12
861,89.0,0.0,1,5
862,94.0,0.0,1,15
863,84.0,0.0,1,13
864,56.0,0.0,1,7
865,90.0,0.0,1,8
866,85.0,0.0,1,20
867,81.0,0.0,1,11
868,45.0,0.0,1,4
869,58.0,0.0,1,4
870,33.0,0.0,1,3
871,65.0,0.0,1,5
872,60.0,0.0,1,3
873,33.0,0.0,1,4
874,45.0,0.0,1,2
875,59.0,0.0,1,18
876,41.0,0.0,1,4
877,42.0,0.0,1,5
878,67.0,0.0,1,9
879,27.0,0.0,1,1
880,70.0,0.0,1,14
881,,0.0,1,0
882,36.0,0.0,1,6
883,61.0,0.0,1,4
884,36.0,0.0,1,12
885,78.0,0.0,1,4
886,29.0,0.0,1,3
887,87.0,0.0,1,7
888,56.0,0.0,1,5
889,81.0,0.0,1,4
890,39.0,0.0,1,3
891,46.0,0.0,1,4
892,78.0,0.0,1,3
893,45.0,0.0,1,4
894,58.0,0.0,1,4
895,33.0,0.0,1,3
896,65.0,0.0,1,5
897,60.0,0.0,1,3
898,33.0,0.0,1,4
899,45.0,0.0,1,2
900,40.0,0.0,1,2
901,39.0,0.0,1,3
902,81.0,0.0,1,4
903,22.0,0.0,1,2
904,76.0,0.0,1,6
905,32.0,0.0,1,1
906,42.0,0.0,1,3
907,26.0,0.0,1,1
908,78.0,0.0,1,6
909,41.0,0.0,1,2
910,68.0,0.0,1,3
911,33.0,0.0,1,4
912,60.0,0.0,1,3
913,58.0,0.0,1,4
914,71.0,0.0,1,3
915,36.0,0.0,1,1
916,54.0,0.0,1,1
917,43.0,0.0,1,1
918,,inf,0,0
919,33.0,0.0,1,3
920,47.0,0.0,1,2
921,42.0,0.0,1,3
922,73.0,0.0,1,8
923,45.0,0.0,1,4
924,58.0,0.0,1,4
925,33.0,0.0,1,4
926,60.0,0.0,1,3
927,65.0,0.0,1,5
928,33.0,0.0,1,3
929,41.0,0.0,1,2
930,68.0,0.0,1,3
931,45.0,0.0,1,2
932,67.0,0.0,1,6
933,32.0,0.0,1,1
934,36.0,0.0,1,5
935,81.0,0.0,1,11
936,83.0,0.0,1,11
937,76.0,0.0,1,6
938,89.0,0.0,1,12
939,86.0,0.0,1,8
940,38.0,0.0,1,1
941,92.0,0.0,1,7
942,93.0,0.0,1,16
943,94.0,0.0,1,9
944,,inf,0,0
945,85.0,0.0,1,16
946,,inf,0,0
947,50.0,0.0,1,1
948,89.0,0.0,1,12
949,83.0,0.0,1,5
950,43.0,0.0,1,1
951,71.0,0.0,1,6
952,89.0,0.0,1,21
953,45.0,0.0,1,4
954,58.0,0.0,1,4
955,33.0,0.0,1,3
956,65.0,0.0,1,5
957,60.0,0.0,1,3
958,33.0,0.0,1,4
959,45.0,0.0,1,2
960,81.0,0.0,1,11
961,83.0,0.0,1,11
962,76.0,0.0,1,6
963,89.0,0.0,1,12
964,86.0,0.0,1,8
965,38.0,0.0,1,1
966,92.0,0.0,1,7
967,93.0,0.0,1,16
968,94.0,0.0,1,9
969,,inf,0,0
970,85.0,0.0,1,16
971,,inf,0,0
972,50.0,0.0,1,1
973,89.0,0.0,1,12
974,83.0,0.0,1,5
975,43.0,0.0,1,1
976,71.0,0.0,1,6
977,89.0,0.0,1,21
978,59.0,0.0,1,18
979,41.0,0.0,1,4
980,42.0,0.0,1,5
981,67.0,0.0,1,9
982,27.0,0.0,1,1
983,70.0,0.0,1,14
984,,0.0,1,0
985,36.0,0.0,1,6
986,61.0,0.0,1,4
987,36.0,0.0,1,12
988,78.0,0.0,1,4
989,29.0,0.0,1,3
990,87.0,0.0,1,7
991,56.0,0.0,1,5
992,81.0,0.0,1,4
993,39.0,0.0,1,3
994,46.0,0.0,1,4
995,78.0,0.0,1,3
996,46.0,0.0,1,4
997,78.0,0.0,1,3
998,52.0,0.0,1,6
999,85.0,0.0,1,12
1000,63.0,0.0,1,12
